phone,freq
ə,2063
ɪ,1456
t,1328
n,1076
s,969
ð,915
d,878
r,856
l,833
e,781
k,665
a,587
z,565
ʊ,476
p,469
i,463
w,459
f,419
m,399
æ,388
ɔ,365
b,358
ʌ,294
v,276
ɛ,257
h,253
o,247
u,203
ɡ,177
ŋ,142
ʃ,137
tʃ,120
j,115
θ,100
dʒ,91
ʒ,1
